Movie Title,Year of Realease,Genre,Movie Rating,Duration,Gross (In Millions),Metascore,Votes
300,2006,"Action,Drama",7.6,117,210.61 ,52,"816,922"
The Last Samurai,2003,"Action,Drama",7.8,154,111.11 ,55,"440,027"
Kimetsu no Yaiba: Mugen Ressha-Hen,2020,"Animation,Action,Adventure",8.2,117,47.70 ,72,"56,907"
Wo bu shi yao shen,2018,"Comedy,Drama",7.8,117,0.01 ,63,"6,479"
Ocean's Eleven,2001,"Crime,Thriller",7.7,116,183.42 ,74,"571,258"
Thor,2011,"Action,Adventure,Fantasy",7,115,181.03 ,57,"844,378"
Pearl Harbor,2001,"Action,Drama,History",6.2,183,198.54 ,44,"332,611"
La La Land,2016,"Comedy,Drama,Music",8,128,151.10 ,94,"581,482"
Tarzan,1999,"Animation,Adventure,Comedy",7.3,88,171.09 ,79,"226,365"
Men in Black II,2002,"Action,Adventure,Comedy",6.1,88,190.42 ,49,"374,914"
The Bourne Ultimatum,2007,"Action,Mystery,Thriller",8,115,227.47 ,85,"633,900"
The Mummy Returns,2001,"Action,Adventure,Fantasy",6.4,130,202.02 ,48,"325,179"
Alvin and the Chipmunks: The Squeakquel,2009,"Animation,Adventure,Comedy",4.5,88,219.61 ,41,"49,552"
Les Misérables,2012,"Drama,Musical,Romance",7.5,158,148.81 ,63,"329,707"
The Exorcist,1973,Horror,8.1,122,232.91 ,81,"403,949"
Mrs. Doubtfire,1993,"Comedy,Drama",7.1,125,219.20 ,53,"268,073"
Terminator Genisys,2015,"Action,Adventure,Sci-Fi",6.3,126,89.76 ,38,"278,084"
Warcraft,2016,"Action,Adventure,Fantasy",6.7,123,47.37 ,32,"263,969"
A Star Is Born,2018,"Drama,Music,Romance",7.6,136,215.29 ,88,"381,604"
The Greatest Showman,2017,"Biography,Drama,Musical",7.5,105,174.34 ,48,"280,057"
Terminator 3: Rise of the Machines,2003,"Action,Sci-Fi",6.3,109,150.37 ,66,"399,649"
Pokémon: Detective Pikachu,2019,"Action,Adventure,Comedy",6.5,104,144.11 ,53,"162,859"
Shang-Chi and the Legend of the Ten Rings,2021,"Action,Adventure,Fantasy",7.4,132,224.54 ,71,"374,342"
Die Another Day,2002,"Action,Adventure,Thriller",6.1,133,160.94 ,56,"219,747"
The Secret Life of Pets 2,2019,"Animation,Adventure,Comedy",6.4,86,158.87 ,55,"62,383"
Cast Away,2000,"Adventure,Drama,Romance",7.8,143,233.63 ,73,"588,627"
Rampage,2018,"Action,Adventure,Sci-Fi",6.1,107,101.03 ,45,"167,913"
The King's Speech,2010,"Biography,Drama,History",8,118,138.80 ,88,"679,043"
The Matrix Revolutions,2003,"Action,Sci-Fi",6.7,129,139.31 ,47,"511,943"
The Intouchables,2011,"Biography,Comedy,Drama",8.5,112,13.18 ,57,"849,817"
Bad Boys for Life,2020,"Action,Comedy,Crime",6.5,124,206.31 ,59,"160,067"
Django Unchained,2012,"Drama,Western",8.4,165,162.81 ,81,"1,534,855"
Beauty and the Beast,1991,"Animation,Family,Fantasy",8,84,218.97 ,95,"453,187"
